session,n_expiries,n_contracts,scope,collected_on
2026-08-10,2,102,backfill,2026-09-10
2026-08-11,2,107,backfill,2026-09-10
2026-08-12,2,112,backfill,2026-09-10
2026-08-13,2,109,backfill,2026-09-10
2026-08-14,2,111,backfill,2026-09-10
2026-08-17,2,120,backfill,2026-09-10
2026-08-18,2,127,backfill,2026-09-10
2026-08-19,2,134,backfill,2026-09-10
2026-08-20,2,146,backfill,2026-09-10
2026-08-21,2,152,backfill,2026-09-10
2026-08-24,2,164,backfill,2026-09-10
2026-08-25,2,169,backfill,2026-09-10
2026-08-26,3,191,backfill,2026-09-10
2026-08-27,3,203,backfill,2026-09-10
2026-08-28,3,199,backfill,2026-09-10
2026-08-31,3,209,backfill,2026-09-10
2026-09-01,3,224,backfill,2026-09-10
2026-09-02,3,231,backfill,2026-09-10
2026-09-03,3,248,backfill,2026-09-10
2026-09-04,3,231,backfill,2026-09-10
2026-09-09,1,170,backfill,2026-09-10
2026-09-10,1,165,same_day,2026-09-10
