session,file,sha256,n_rows,n_strikes,first_ts,last_ts,n_settlement_bars,oi_lot,oi_units,source,fetched_on
2023-01-05,2023-01-05_chain.parquet,296cd7025c89388ea20611fe1ad403cf42f6c5ea6b8f7d1648b03e1970e676a8,31105,44,2023-01-05 09:15:00+05:30,2023-01-05 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-01-12,2023-01-12_chain.parquet,a6dfb0badbb0e45985e009cd2170274b98e739a0a461d8c4f9087d12500cdb98,30738,44,2023-01-12 09:15:00+05:30,2023-01-12 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-01-19,2023-01-19_chain.parquet,888d7bd450a81522da794809b2a661d3e5b507d28e838ddc75edacb2d7801848,29683,43,2023-01-19 09:15:00+05:30,2023-01-19 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-01-25,2023-01-25_chain.parquet,1750cac6239c1db0c761259f6e1f33748a0b950b674c02594f5319e9687d85f8,31543,44,2023-01-25 09:15:00+05:30,2023-01-25 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-02-02,2023-02-02_chain.parquet,76c7b9053885d803d75ec66078063ccad9563fb13b7b7527d0e63a193a49a8e7,30809,42,2023-02-02 09:15:00+05:30,2023-02-02 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-02-09,2023-02-09_chain.parquet,22770a994b7653a39eef527d5b7c13b5d3b63e8dedf8bbe4427c6a6fb070df9c,30525,43,2023-02-09 09:15:00+05:30,2023-02-09 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-02-16,2023-02-16_chain.parquet,19906b40f7bf5230a0634ebca913863920e4c7d7ad57512592fad92256864b91,31214,43,2023-02-16 09:15:00+05:30,2023-02-16 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-02-23,2023-02-23_chain.parquet,939871e02e8e3a285be901588ef319de8754d7d4b1b1932e822e9c5ad4f71311,30276,42,2023-02-23 09:15:00+05:30,2023-02-23 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-03-02,2023-03-02_chain.parquet,38cad1121521c6541f40b067f417fac199a5761d7b7407709b43250dc22562c7,30288,42,2023-03-02 09:15:00+05:30,2023-03-02 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-03-09,2023-03-09_chain.parquet,99019c0bcf2f6356f93f664c2d658878737e2bf0e4bc95362bb0113cc182c5de,30437,43,2023-03-09 09:15:00+05:30,2023-03-09 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-03-16,2023-03-16_chain.parquet,4f305d1596dd465762055b54fe62513b0f8bc63d244be37ee97fe0c7daf6ea44,30471,41,2023-03-16 09:15:00+05:30,2023-03-16 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
