session,n_expiries,n_contracts,scope,collected_on
2026-08-10,1,26,backfill,2026-09-07
2026-08-11,1,38,backfill,2026-09-07
2026-08-12,2,60,backfill,2026-09-07
2026-08-13,2,68,backfill,2026-09-07
2026-08-14,2,72,backfill,2026-09-07
2026-08-17,2,93,backfill,2026-09-07
2026-08-18,2,108,backfill,2026-09-07
2026-08-19,3,154,backfill,2026-09-07
2026-08-20,3,157,backfill,2026-09-07
2026-08-21,3,159,backfill,2026-09-07
2026-08-24,3,190,backfill,2026-09-07
2026-08-25,3,218,backfill,2026-09-07
2026-08-26,3,224,backfill,2026-09-07
2026-08-27,3,242,backfill,2026-09-07
2026-08-28,3,249,backfill,2026-09-07
2026-08-31,3,283,backfill,2026-09-07
2026-09-01,3,311,backfill,2026-09-07
2026-09-02,3,322,backfill,2026-09-07
2026-09-03,3,341,backfill,2026-09-07
2026-09-04,3,343,backfill,2026-09-07
